lr-Adadelta,step,train_seq_loss,train_struct_loss,train_pos_loss,train_total_loss,epoch,val_seq_loss,val_struct_loss,val_pos_loss,val_total_loss,val_ExpRate
1.0,0,,,,,,,,,,
,609,2.4505701065063477,1.3362269401550293,0.939418375492096,1.7941960096359253,0,,,,,
1.0,610,,,,,,,,,,
,1219,,,,,1,2.2499492168426514,0.37477144598960876,0.6704272031784058,1.3862743377685547,0.0
,1219,1.8579031229019165,0.5273954272270203,0.7278885245323181,1.2427723407745361,1,,,,,
1.0,1220,,,,,,,,,,
,1829,1.607018232345581,0.33566775918006897,0.6477248668670654,1.0493574142456055,2,,,,,
1.0,1830,,,,,,,,,,
,2439,,,,,3,1.9781745672225952,0.24089044332504272,0.5875899195671082,1.1962075233459473,0.0010141987586393952
,2439,1.3968173265457153,0.24585138261318207,0.5687209367752075,0.9020519256591797,3,,,,,
1.0,2440,,,,,,,,,,
,3049,1.1975317001342773,0.21585439145565033,0.5149105787277222,0.7814569473266602,4,,,,,
1.0,3050,,,,,,,,,,
,3659,,,,,5,1.679505467414856,0.24627940356731415,0.5131935477256775,1.0296210050582886,0.02231237292289734
,3659,1.0015336275100708,0.1805599480867386,0.47399580478668213,0.6644063591957092,5,,,,,
1.0,3660,,,,,,,,,,
,4269,0.8416081070899963,0.16558599472045898,0.43610936403274536,0.5712279081344604,6,,,,,
1.0,4270,,,,,,,,,,
,4879,,,,,7,1.312427043914795,0.2004806250333786,0.4751030504703522,0.8251094222068787,0.0933062881231308
,4879,0.7156304121017456,0.14362752437591553,0.4054437279701233,0.49508318305015564,7,,,,,
1.0,4880,,,,,,,,,,
,5489,0.6157040596008301,0.12744934856891632,0.37918621301651,0.434510737657547,8,,,,,
1.0,5490,,,,,,,,,,
,6099,,,,,9,0.9887281656265259,0.14809074997901917,0.4644084572792053,0.6474887728691101,0.20791074633598328
,6099,0.5408281087875366,0.1150493398308754,0.35335326194763184,0.3875146806240082,9,,,,,
1.0,6100,,,,,,,,,,
,6709,0.4704160690307617,0.1033327728509903,0.3310543894767761,0.34380486607551575,10,,,,,
1.0,6710,,,,,,,,,,
,7319,,,,,11,0.7927916049957275,0.13399098813533783,0.4142446219921112,0.5334548354148865,0.27383366227149963
,7319,0.4180411696434021,0.0911097526550293,0.3164897561073303,0.31092044711112976,11,,,,,
1.0,7320,,,,,,,,,,
,7929,0.37066149711608887,0.07933811843395233,0.2947801649570465,0.2788599133491516,12,,,,,
