lr-Adadelta,step,train_seq_loss,train_struct_loss,train_pos_loss,train_total_loss,epoch,val_seq_loss,val_struct_loss,val_pos_loss,val_total_loss,val_ExpRate
1.0,61000,,,,,,,,,,
,61609,0.11995933204889297,0.022092394530773163,0.11328338086605072,0.09382361173629761,100,,,,,
1.0,61610,,,,,,,,,,
,62219,,,,,101,0.40200090408325195,0.051028989255428314,0.2636989653110504,0.27968230843544006,0.5223124027252197
,62219,0.12314052879810333,0.023403704166412354,0.11025502532720566,0.09498492628335953,101,,,,,
1.0,62220,,,,,,,,,,
,62829,0.12239949405193329,0.02134718932211399,0.11352016776800156,0.09491658955812454,102,,,,,
1.0,62830,,,,,,,,,,
,63439,,,,,103,0.46530234813690186,0.047951750457286835,0.31275075674057007,0.3228267431259155,0.47058823704719543
,63439,0.12131662666797638,0.02239394001662731,0.10917915403842926,0.09355151653289795,103,,,,,
1.0,63440,,,,,,,,,,
,64049,0.12980899214744568,0.023838914930820465,0.1127438023686409,0.09905008971691132,104,,,,,
1.0,64050,,,,,,,,,,
,64659,,,,,105,0.43709713220596313,0.05439847707748413,0.24759677052497864,0.29404735565185547,0.48073023557662964
,64659,0.13013529777526855,0.026355380192399025,0.11403276026248932,0.1001647412776947,105,,,,,
1.0,64660,,,,,,,,,,
,65269,0.1246546059846878,0.021915938705205917,0.11116517335176468,0.09559761732816696,106,,,,,
1.0,65270,,,,,,,,,,
,65879,,,,,107,0.4649316370487213,0.057194530963897705,0.28080904483795166,0.31696662306785583,0.47565922141075134
,65879,0.12096109241247177,0.022843681275844574,0.10905855894088745,0.09345602989196777,107,,,,,
1.0,65880,,,,,,,,,,
,66489,0.11801785975694656,0.02334343083202839,0.10967325419187546,0.09226315468549728,108,,,,,
1.0,66490,,,,,,,,,,
,67099,,,,,109,0.4436226785182953,0.048186685889959335,0.2696767747402191,0.30127716064453125,0.48377281427383423
,67099,0.11732019484043121,0.02022131159901619,0.10965248942375183,0.09112866967916489,109,,,,,
1.0,67100,,,,,,,,,,
,67709,0.11909924447536469,0.023221509531140327,0.10869161784648895,0.09252790361642838,110,,,,,
1.0,67710,,,,,,,,,,
,68319,,,,,111,0.4470849335193634,0.06620582193136215,0.27130746841430664,0.3079209327697754,0.5192697644233704
,68319,0.11830464750528336,0.021492503583431244,0.10734758526086807,0.09136226773262024,111,,,,,
1.0,68320,,,,,,,,,,
,68929,0.12142962962388992,0.021030118688941002,0.10998568683862686,0.09346884489059448,112,,,,,
1.0,68930,,,,,,,,,,
,69539,,,,,113,0.4341352581977844,0.053751759231090546,0.2559770345687866,0.2944996654987335,0.5020284056663513
,69539,0.12699401378631592,0.02311483770608902,0.11243598163127899,0.09738483279943466,113,,,,,
