lr-Adadelta,step,train_loss,train/struct_loss,epoch,val_loss,val/struct_loss,val_lsm,val_ExpRate
,121580,0.27957531809806824,0.03398166969418526,80,,,,
1.0,121581,,,,,,,
,123081,0.27304092049598694,0.034682497382164,81,,,,
1.0,123082,,,,,,,
,124582,0.2742072641849518,0.033935412764549255,82,,,,
1.0,124583,,,,,,,
,126083,0.27729079127311707,0.03512599691748619,83,,,,
1.0,126084,,,,,,,
,127584,0.27411797642707825,0.03379398211836815,84,,,,
1.0,127585,,,,,,,
,129085,0.26963889598846436,0.03253917023539543,85,,,,
1.0,129086,,,,,,,
,130586,0.27025532722473145,0.03301491588354111,86,,,,
1.0,130587,,,,,,,
,132087,0.276131808757782,0.03565248101949692,87,,,,
1.0,132088,,,,,,,
,133588,0.2737099826335907,0.03284197673201561,88,,,,
1.0,133589,,,,,,,
,135089,,,89,0.6003561019897461,0.0525221973657608,0.7704618573188782,0.42596349120140076
,135089,0.26376503705978394,0.03430898115038872,89,,,,
1.0,135090,,,,,,,
,136590,0.2669481337070465,0.03381888568401337,90,,,,
1.0,136591,,,,,,,
,138091,0.26896315813064575,0.03411614149808884,91,,,,
1.0,138092,,,,,,,
,139592,0.2779075503349304,0.03381296247243881,92,,,,
1.0,139593,,,,,,,
,141093,0.2664126455783844,0.03418084979057312,93,,,,
1.0,141094,,,,,,,
,142594,0.27050766348838806,0.03349888324737549,94,,,,
1.0,142595,,,,,,,
,144095,0.2688662111759186,0.03532868251204491,95,,,,
1.0,144096,,,,,,,
,145596,0.2727316915988922,0.03356518596410751,96,,,,
1.0,145597,,,,,,,
,147097,0.263113409280777,0.031581126153469086,97,,,,
1.0,147098,,,,,,,
,148598,0.2688259780406952,0.03258141875267029,98,,,,
1.0,148599,,,,,,,
,150099,,,99,0.5382500886917114,0.04937945678830147,0.7319983243942261,0.41075050830841064
,150099,0.27090057730674744,0.031959280371665955,99,,,,
1.0,150100,,,,,,,
,151600,0.2627928853034973,0.033338189125061035,100,,,,
1.0,151601,,,,,,,
,153101,0.27307814359664917,0.033966321498155594,101,,,,
1.0,153102,,,,,,,
,154602,0.26626333594322205,0.03202422708272934,102,,,,
1.0,154603,,,,,,,
,156103,0.26303064823150635,0.03182338550686836,103,,,,
1.0,156104,,,,,,,
,157604,0.26466619968414307,0.03381596878170967,104,,,,
1.0,157605,,,,,,,
,159105,0.261289119720459,0.03154318779706955,105,,,,
1.0,159106,,,,,,,
,160606,0.2610887885093689,0.03433162346482277,106,,,,
1.0,160607,,,,,,,
,162107,0.26962947845458984,0.03458172455430031,107,,,,
1.0,162108,,,,,,,
,163608,0.2627064883708954,0.034706614911556244,108,,,,
1.0,163609,,,,,,,
,165109,,,109,0.7409269213676453,0.06176654249429703,0.6674847602844238,0.29716023802757263
,165109,0.2654556334018707,0.03353774920105934,109,,,,
1.0,165110,,,,,,,
,166610,0.2641969621181488,0.03366634249687195,110,,,,
1.0,166611,,,,,,,
,168111,0.26315179467201233,0.03362042456865311,111,,,,
1.0,168112,,,,,,,
,169612,0.26094573736190796,0.032505836337804794,112,,,,
1.0,169613,,,,,,,
,171113,0.2628440260887146,0.03231668472290039,113,,,,
1.0,171114,,,,,,,
,172614,0.25968724489212036,0.033903006464242935,114,,,,
1.0,172615,,,,,,,
,174115,0.25957852602005005,0.032651402056217194,115,,,,
1.0,174116,,,,,,,
,175616,0.26098087430000305,0.032685283571481705,116,,,,
1.0,175617,,,,,,,
,177117,0.26379549503326416,0.03363768756389618,117,,,,
1.0,177118,,,,,,,
,178618,0.25946903228759766,0.03165905550122261,118,,,,
1.0,178619,,,,,,,
,180119,,,119,0.53693687915802,0.04802163690328598,0.75307697057724,0.40263691544532776
,180119,0.2556167244911194,0.03358227014541626,119,,,,
1.0,180120,,,,,,,
,181620,0.2652939558029175,0.03275751322507858,120,,,,
1.0,181621,,,,,,,
,183121,0.25969642400741577,0.03154338151216507,121,,,,
1.0,183122,,,,,,,
,184622,0.25884443521499634,0.032376714050769806,122,,,,
1.0,184623,,,,,,,
,186123,0.2605213522911072,0.03243959695100784,123,,,,
1.0,186124,,,,,,,
,187624,0.25539013743400574,0.03331075236201286,124,,,,
1.0,187625,,,,,,,
,189125,0.2588177025318146,0.03217628598213196,125,,,,
1.0,189126,,,,,,,
,190626,0.26460105180740356,0.03454131260514259,126,,,,
1.0,190627,,,,,,,
,192127,0.2572881281375885,0.03183136507868767,127,,,,
1.0,192128,,,,,,,
,193628,0.26040494441986084,0.03301490470767021,128,,,,
1.0,193629,,,,,,,
,195129,,,129,0.5020197033882141,0.05856646969914436,0.7721521854400635,0.4462474584579468
,195129,0.25867360830307007,0.03311917558312416,129,,,,
1.0,195130,,,,,,,
,196630,0.26377779245376587,0.032531578093767166,130,,,,
1.0,196631,,,,,,,
,198131,0.25720444321632385,0.03332725167274475,131,,,,
1.0,198132,,,,,,,
,199632,0.2551983892917633,0.03291798755526543,132,,,,
1.0,199633,,,,,,,
,201133,0.25389862060546875,0.03313460946083069,133,,,,
1.0,201134,,,,,,,
,202634,0.2595144510269165,0.03214016929268837,134,,,,
1.0,202635,,,,,,,
,204135,0.25889426469802856,0.03338669240474701,135,,,,
1.0,204136,,,,,,,
,205636,0.2572266161441803,0.03180311992764473,136,,,,
1.0,205637,,,,,,,
,207137,0.25712963938713074,0.030342668294906616,137,,,,
1.0,207138,,,,,,,
,208638,0.2582351565361023,0.03353239223361015,138,,,,
1.0,208639,,,,,,,
,210139,,,139,0.46054431796073914,0.0512625090777874,0.7643439769744873,0.4503042697906494
,210139,0.25716954469680786,0.033073294907808304,139,,,,
1.0,210140,,,,,,,
,211640,0.2584300935268402,0.03198713809251785,140,,,,
1.0,211641,,,,,,,
,213141,0.25694024562835693,0.03165996074676514,141,,,,
